"address","type","parking_space","area","district_city","nearest_subway_station"
"191014, Сакт-Петербург, улица Восстания, дом 1/39","Платная",14,28,"Центральный","Чернышевская"
"191025, Сакт-Петербург, улица Восстания, 4","Платная",5,10,"Центральный","Чернышевская"
"191025, Сакт-Петербург, улица Восстания, 6","Платная",4,8,"Центральный","Чернышевская"
"191025, Сакт-Петербург, улица Восстания, дом 8","Платная",14,28,"Центральный","Чернышевская"
"191025, Сакт-Петербург, улица Восстания, дом 38","Платная",3,6,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, 44","Платная",14,28,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 39","Платная",19,38,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, 40/41","Платная",4,8,"Центральный","Чернышевская"
"191123, Сакт-Петербург, улица Радищева, дом 39","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 17/36","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, 32","Платная",3,6,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 35","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 26","Платная",6,12,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 33","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 44","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 46","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 20","Платная",3,6,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 21","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 22","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 17-19","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, дом 8","Платная",8,16,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, 9","Платная",5,10,"Центральный","Чернышевская"
"191014, Сакт-Петербург, округ Смольнинское, Солдатский переулок","Платная",3,6,"Центральный","Чернышевская"
"191014, Сакт-Петербург, улица Радищева, 1","Платная",4,8,"Центральный","Чернышевская"
"191014, Сакт-Петербург,  Лиговский проспект, дом 3/9","Платная",8,16,"Центральный","Площадь Восстания"
"191014, Сакт-Петербург,  Лиговский проспект, дом 2/4","Платная",9,18,"Центральный","Площадь Восстания"
"191014, Сакт-Петербург,  Лиговский проспект, 9","Платная",5,10,"Центральный","Площадь Восстания"
"191014, Сакт-Петербург,  Лиговский проспект, дом 17","Платная",10,20,"Центральный","Площадь Восстания"
